param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,mean_test_roc_auc,rank_test_roc_auc,mean_test_f1,mean_test_precision,mean_test_recall,mean_test_accuracy,model,param_clf__C,param_clf__class_weight,param_clf__penalty,param_estimator__max_depth,param_learning_rate,param_n_estimators,param_subsample,param_colsample_bytree
gini,5,8,16,0.8277955683360203,1,0.7296615783298271,0.7260722610722611,0.7385835095137421,0.7890700201832013,DecisionTree,,,,,,,,
gini,5,8,8,0.8277955683360203,1,0.7296615783298271,0.7260722610722611,0.7385835095137421,0.7890700201832013,DecisionTree,,,,,,,,
gini,5,8,2,0.8277955683360203,1,0.7296615783298271,0.7260722610722611,0.7385835095137421,0.7890700201832013,DecisionTree,,,,,,,,
entropy,5,8,2,0.8249335973558051,4,0.7436125892173481,0.7384732418904901,0.7617336152219873,0.796103089582363,DecisionTree,,,,,,,,
entropy,5,8,16,0.8249335973558051,4,0.7436125892173481,0.7384732418904901,0.7617336152219873,0.796103089582363,DecisionTree,,,,,,,,
entropy,5,8,8,0.8249335973558051,4,0.7436125892173481,0.7384732418904901,0.7617336152219873,0.796103089582363,DecisionTree,,,,,,,,
gini,,8,16,0.8247315606110235,7,0.7181098707431264,0.7079802031442066,0.7390063424947145,0.7767737928893028,DecisionTree,,,,,,,,
gini,,8,2,0.8247315606110235,7,0.7181098707431264,0.7079802031442066,0.7390063424947145,0.7767737928893028,DecisionTree,,,,,,,,
,,,,0.8587835363130154,1,0.7566641360461586,0.8146376811594204,0.7161733615221987,0.8242353671790095,LogisticRegression,0.1,,l1,,,,,
,,,,0.8582114143635596,2,0.7473373908692358,0.7554955703211517,0.7529598308668076,0.8049371215649744,LogisticRegression,0.1,balanced,l1,,,,,
,,,,0.8565994274313959,3,0.7533831996010699,0.7593060093060094,0.7575052854122623,0.8101692283806863,LogisticRegression,0.1,balanced,l2,,,,,
,,,,0.8565928126900941,4,0.7431785886051159,0.7994731509625128,0.7071881606765328,0.8136935258500234,LogisticRegression,0.1,,l2,,,,,
,,,,0.8544129895652988,5,0.7467731170422065,0.7999395801331284,0.7116279069767442,0.815463437354448,LogisticRegression,1.0,,l1,,,,,
,,,,0.8522069201679422,6,0.756963249516441,0.766934046345811,0.7573995771670191,0.8136935258500232,LogisticRegression,1.0,balanced,l1,,,,,
,,,,0.8505119937383284,7,0.7403139058958834,0.7973669467787116,0.702431289640592,0.811939139885111,LogisticRegression,1.0,,l2,,,,,
,,,,0.8498049608432838,8,0.7486501697326633,0.7544600338717986,0.7528541226215645,0.806675981990374,LogisticRegression,1.0,balanced,l2,,,,,
,,,,0.8629947975378698,1,0.7480062013535035,0.7762302540418042,0.7299154334038056,0.8119080888060859,AdaBoost,,,,2,0.03,60,,
,,,,0.8576045384356881,2,0.7587335856925003,0.7659839096062007,0.7620507399577168,0.8136935258500232,AdaBoost,,,,2,0.03,100,,
,,,,0.8545408178457639,3,0.7372231098526983,0.7418136027513371,0.7484143763213531,0.796134140661388,AdaBoost,,,,1,0.1,100,,
,,,,0.8534139403014281,4,0.7411411758235714,0.7690966914222728,0.7252642706131078,0.8048439683278994,AdaBoost,,,,1,0.03,100,,
,,,,0.852883516745292,5,0.7435761047463176,0.7550665926748057,0.7437632135306554,0.8031672100605496,AdaBoost,,,,2,0.03,140,,
,,,,0.8527847529149526,6,0.7358302422305701,0.7432517164738497,0.7437632135306554,0.7943487036174507,AdaBoost,,,,1,0.1,60,,
,,,,0.8494246132184224,7,0.7367778918880872,0.7346736596736596,0.7530655391120508,0.7943797546964757,AdaBoost,,,,1,0.1,140,,
,,,,0.8491393817450156,8,0.7266832816443729,0.7148541316376111,0.7479915433403805,0.7837602856699271,AdaBoost,,,,1,0.03,60,,
,6,,,0.8589610176917744,1,0.750840234629319,0.8129547807265199,0.7070824524312896,0.8207265952491849,RandomForest,,,,,,240,,
,8,,,0.8589088016470919,2,0.7486329731183506,0.8142552597254038,0.7026427061310783,0.8207421207886973,RandomForest,,,,,,240,,
,8,,,0.8587610866041917,3,0.7398194155015451,0.7943641152113019,0.7026427061310783,0.8119546654246236,RandomForest,,,,,,80,,
,8,,,0.857143686644178,4,0.7473660632571703,0.8187179538939804,0.6980972515856237,0.8207421207886973,RandomForest,,,,,,160,,
,6,,,0.8556069822741948,5,0.7390867460944339,0.8035279586142758,0.6934460887949261,0.8137090513895358,RandomForest,,,,,,160,,
,4,,,0.854108520042028,6,0.755294092453022,0.8186568341219503,0.7067653276955602,0.8242043160999843,RandomForest,,,,,,160,,
,6,,,0.8540232621947329,7,0.7434362106913739,0.8027218614718615,0.7026427061310783,0.8154479118149356,RandomForest,,,,,,80,,
,4,,,0.853767105806084,8,0.755294092453022,0.8186568341219503,0.7067653276955602,0.8242043160999843,RandomForest,,,,,,240,,
,2,,,0.870155627209345,1,0.7613969220117984,0.8104284261378083,0.7252642706131078,0.8259897531439219,GBDT,,,,,0.05,80,1.0,
,2,,,0.8693126411747439,2,0.748832233215795,0.8198860121651542,0.7026427061310783,0.8207421207886973,GBDT,,,,,0.1,80,1.0,
,2,,,0.8673908780377827,3,0.7483781991269958,0.8262810475576433,0.6980972515856237,0.8224965067536096,GBDT,,,,,0.05,140,1.0,
,2,,,0.8662470807934286,4,0.7516646763198487,0.8251972613674742,0.7026427061310783,0.824281943797547,GBDT,,,,,0.05,200,1.0,
,2,,,0.8658704021167173,5,0.7481144065413728,0.8014323852066683,0.7116279069767442,0.8172022977798479,GBDT,,,,,0.05,80,0.8,
,2,,,0.8649784010617617,6,0.7413256240692213,0.8098209064562354,0.6935517970401691,0.8172643999378979,GBDT,,,,,0.1,140,1.0,
