param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,mean_test_score,std_test_score,rank_test_score
14,0.5,2,100,0.8466987937907963,0.04359424916986424,1
,0.5,2,100,0.8465382588396022,0.041346588845250845,2
,0.5,2,200,0.8454811148996892,0.042327374269982766,3
,0.5,2,300,0.844597547398131,0.042257957826368896,4
14,0.5,2,200,0.8443809056028859,0.04277448498523165,5
10,0.5,2,100,0.844329273917235,0.046177051059770616,6
14,0.5,2,300,0.8437729001358903,0.041951026219163606,7
10,0.5,5,100,0.8436339475305538,0.04394906880340992,8
,0.5,5,300,0.8427104384223629,0.043257744589997364,9
10,0.5,5,300,0.8418993579767646,0.04410009209874851,10
14,sqrt,2,100,0.8418375831064602,0.044588566152352786,11
14,0.5,5,300,0.8414817060948903,0.04239456063029533,12
,sqrt,2,200,0.8414085779088003,0.04922169403543198,13
10,0.5,2,300,0.841308118233709,0.04578768804674088,14
14,sqrt,2,200,0.8412783407750191,0.0479484599773425,15
,0.5,5,200,0.8411887901028766,0.0436055948052135,16
10,0.5,5,200,0.8407192394925908,0.044453814265081104,17
,sqrt,2,100,0.8406749360382932,0.04659736454579395,18
14,sqrt,2,300,0.8406617713594609,0.04993448168562843,19
10,0.5,2,200,0.8405891062081341,0.045300600979567895,20
,sqrt,2,300,0.8399170325148564,0.050109454301910036,21
14,0.5,5,200,0.8395752810740426,0.04458683182558217,22
,0.5,5,100,0.8390764897901226,0.044741133478706174,23
14,0.5,10,100,0.8388128534589623,0.04534654275618165,24
,0.5,10,100,0.8385109631919393,0.045322143989011965,25
14,0.5,10,200,0.8379954240680313,0.043203795062653455,26
6,0.5,2,100,0.8379171788527561,0.0458886850984295,27
,0.5,10,200,0.8378820647771852,0.043445553486177575,28
14,0.5,5,100,0.8376900347365593,0.047878031479568116,29
10,sqrt,2,300,0.8368167527013586,0.049781096714391904,30
6,0.5,2,300,0.8367185495363213,0.04423564702335376,31
,0.5,10,300,0.8365866285667595,0.04526155296142222,32
10,0.5,10,100,0.8365800089264737,0.043039674073327046,33
14,0.5,10,300,0.8365590143472111,0.04495524180250338,34
10,sqrt,2,200,0.836073801198021,0.049254049376562,35
14,sqrt,5,100,0.8360187502324287,0.048030791914081536,36
6,0.5,5,100,0.8358168129485681,0.047831929843689634,37
10,0.5,10,300,0.8357028368842766,0.043800626816018956,38
6,0.5,2,200,0.835620023429114,0.044204932177895416,39
10,sqrt,2,100,0.8355648788019389,0.04498088635989934,40
10,0.5,10,200,0.8352775779692786,0.043583161736697684,41
14,sqrt,5,300,0.8343543039666794,0.04930382787154688,42
,sqrt,5,100,0.8343480362830349,0.04796043157901324,43
14,sqrt,5,200,0.8340864408912336,0.0494383451607063,44
10,sqrt,5,200,0.8338266469583597,0.045110982267883404,45
10,sqrt,5,300,0.8334548266454828,0.04754637921896406,46
,sqrt,5,200,0.833222181370027,0.04890193311539825,47
,sqrt,5,300,0.8330879079353011,0.04893715395843483,48
10,sqrt,5,100,0.8320220174448739,0.04211273187170637,49
6,0.5,5,300,0.8317955717890293,0.04532840457285453,50
6,0.5,5,200,0.8311097204954482,0.045983064406285884,51
6,0.5,10,100,0.8301956613516488,0.04651389939204468,52
6,0.5,10,300,0.8276193452462722,0.04615520882839558,53
6,0.5,10,200,0.8270320922389859,0.04580869414410948,54
,sqrt,10,100,0.8269096001218653,0.04709127305879802,55
14,1.0,2,100,0.8265144071982469,0.047161232439077355,56
,1.0,2,100,0.8260974564965702,0.047500075886389014,57
14,sqrt,10,100,0.8255875148137909,0.04863699603560653,58
10,1.0,5,100,0.8255325083601737,0.04789445108073158,59
10,1.0,2,100,0.8251901857728022,0.046173330130557855,60
,1.0,2,200,0.8248081880518001,0.049551148612699325,61
,sqrt,10,200,0.824684095404719,0.04796466475106161,62
14,1.0,2,200,0.8246042044908519,0.047810066787453614,63
,1.0,5,100,0.8245788098932086,0.04780328052640886,64
,1.0,2,300,0.8245658060864178,0.04832157691610046,65
6,sqrt,2,100,0.8244037938180044,0.041354239898706936,66
6,sqrt,2,200,0.8241920516851495,0.04429482260216132,67
10,sqrt,10,100,0.8240746987082235,0.045242100659379524,68
14,sqrt,10,200,0.824030892688896,0.04873808636578031,69
14,1.0,5,100,0.8240279657694833,0.04731688355334484,70
10,sqrt,10,200,0.8239903496748304,0.0488356259995924,71
10,1.0,2,200,0.82384701927453,0.048357594123709935,72
14,1.0,2,300,0.8238125825750675,0.04751346093729606,73
,1.0,5,200,0.8235520202794084,0.047843713168901375,74
,sqrt,10,300,0.8235186282423783,0.051480287080997375,75
10,1.0,5,200,0.8232861997907698,0.04829623883256381,76
10,1.0,2,300,0.823218075717809,0.0476592334589306,77
14,1.0,5,200,0.8231756770696851,0.04872621425119625,78
14,1.0,5,300,0.8229221552209438,0.04762897539511113,79
,1.0,5,300,0.8228873882997494,0.047094288835857284,80
14,sqrt,10,300,0.8228276370006592,0.052005318557386965,81
6,sqrt,2,300,0.8224110078241565,0.04742477261641411,82
10,1.0,5,300,0.822410167634278,0.04716724535398279,83
10,sqrt,10,300,0.822276980233978,0.050961849879861014,84
14,1.0,10,100,0.8220783703982637,0.04799774983386788,85
,1.0,10,100,0.8220064872553021,0.04782396618102072,86
10,1.0,10,100,0.8217760706231682,0.04902850082324033,87
6,sqrt,5,100,0.8210538445689363,0.0461663302773873,88
14,1.0,10,200,0.8205160414297147,0.04784957231436816,89
,1.0,10,200,0.82030837415376,0.047840780588509026,90
10,1.0,10,200,0.8200365279953943,0.048609092947930595,91
14,1.0,10,300,0.8199538849174491,0.04738607295099637,92
,1.0,10,300,0.8198095930519402,0.04723365606683087,93
10,1.0,10,300,0.819510106282741,0.04727154881785448,94
6,1.0,2,100,0.819123360163378,0.048890601465305196,95
6,1.0,5,100,0.8183254481630516,0.04824287457946471,96
6,sqrt,5,200,0.8180083584961431,0.046884047484969105,97
6,1.0,10,100,0.8177101001208843,0.04843538001955278,98
6,1.0,2,200,0.8174123209376196,0.050350624209653055,99
6,1.0,5,200,0.8167526580177732,0.04898483021895844,100
6,1.0,2,300,0.816695241366671,0.04934683674845823,101
6,sqrt,5,300,0.8163787787565193,0.04965210203945934,102
6,1.0,10,200,0.8162983560087428,0.04902233763412329,103
6,sqrt,10,100,0.816154768388729,0.044811927746490975,104
6,1.0,5,300,0.8158070864472439,0.04811600464412739,105
6,1.0,10,300,0.814989455557399,0.04811072066467663,106
6,sqrt,10,200,0.8133872729669254,0.04719762896843515,107
6,sqrt,10,300,0.812624922008407,0.048838928237110085,108
