param,value,train_R2,train_MSE,train_RMSE,train_MAE,test_R2,test_MSE,test_RMSE,test_MAE
n_estimators,10,0.9677371375833389,2.8027846755297436,1.6741519272544363,1.1615636141259182,0.8477828728563666,11.162657795238523,3.3410563891138567,2.11815987442686
n_estimators,30,0.9739233428525668,2.265367966982548,1.5051139382061904,1.0479437113216927,0.8833319092790373,8.555712466659969,2.925014951527593,1.9249507105671666
n_estimators,50,0.9750109040705256,2.1708878221017476,1.4733933019060959,1.0371195876110564,0.8862740965286795,8.339950744877633,2.8878972877991407,1.9844046497442427
n_estimators,100,0.9758318872010991,2.0995662230593886,1.4489879996257349,1.0198955807604468,0.8759406652964513,9.09774035016397,3.016246069233074,1.9690821420436253
n_estimators,200,0.9766322878073315,2.030032697966022,1.4247921595678517,0.9984904973533988,0.8702688966786569,9.51367260011683,3.0844241926357716,1.9860726770560617
n_estimators,300,0.9770763707843939,1.9914536981643312,1.411188753556494,1.0030407893266562,0.8653037736290885,9.877783857198196,3.142894184855449,2.000200367566285
max_depth,2,0.7003000170798901,26.03595764494919,5.102544232532354,3.5518675723018807,0.6314550142094095,27.02679807279147,5.198730428940461,3.343060665119068
max_depth,4,0.8771390490817043,10.673349004426285,3.267009183400972,2.4321438619763383,0.7670039114962848,17.086484631534873,4.133580122791243,2.6283130984956893
max_depth,6,0.9418466078126632,5.051983123746874,2.247661701356962,1.702346772147846,0.8329081920395003,12.253474412841616,3.500496309502642,2.219731913162401
max_depth,8,0.9668304555531425,2.881551229687084,1.6975132487515625,1.2561683937597208,0.8622669640426821,10.100484592906914,3.1781259561110717,2.021346871301548
max_depth,10,0.9769165506290097,2.0053378190636675,1.4160995088847632,1.0044052290710936,0.8727396090655406,9.332485913685572,3.0549117685598666,1.9801679543089328
max_depth,14,0.9798451162038857,1.7509233592261655,1.3232246064920972,0.8921033006400818,0.8631124170388964,10.03848432621029,3.1683567233205117,1.9742425637027923
max_depth,None,0.9813753151161404,1.6179897711771167,1.2720022685424413,0.8407194719471919,0.8624891484832564,10.084190967320241,3.175561520002445,2.0051699346405214
max_features,sqrt,0.9769165506290097,2.0053378190636675,1.4160995088847632,1.0044052290710936,0.8727396090655406,9.332485913685572,3.0549117685598666,1.9801679543089328
max_features,log2,0.9769165506290097,2.0053378190636675,1.4160995088847632,1.0044052290710936,0.8727396090655406,9.332485913685572,3.0549117685598666,1.9801679543089328
max_features,0.3,0.9769165506290097,2.0053378190636675,1.4160995088847632,1.0044052290710936,0.8727396090655406,9.332485913685572,3.0549117685598666,1.9801679543089328
max_features,0.5,0.9773187696931053,1.9703956798791833,1.4037078328053825,0.987166591360125,0.884992831777129,8.43391073633881,2.9041196146747827,1.9484004812025204
max_features,0.8,0.9773357216721066,1.9689230037616279,1.4031831682861748,0.9900448363817735,0.892436196717827,7.88806062579451,2.8085691420711916,1.9815560405173844
max_features,1.0,0.9743686807061968,2.22667995178205,1.4922064038805254,1.032206563951308,0.8848596531586203,8.443677228270117,2.905800617432331,2.0224212879116314
min_samples_split,2,0.9769165506290097,2.0053378190636675,1.4160995088847632,1.0044052290710936,0.8727396090655406,9.332485913685572,3.0549117685598666,1.9801679543089328
min_samples_split,5,0.9634994248070319,3.17092920887395,1.7807103102060002,1.228517837394464,0.8679849236595443,9.681164982244466,3.1114570513257074,2.0318431728551727
min_samples_split,10,0.9401160189554668,5.202325268406908,2.2808606420399533,1.5734230068969453,0.8402047693160519,11.718388797030432,3.4232132269302817,2.0354315767908475
min_samples_split,20,0.9062656222895891,8.143024447867502,2.853598508526997,1.982789723902201,0.8228245287294121,12.992947591485322,3.6045731496926683,2.2620306654566016
min_samples_split,40,0.8581336773641981,12.324410336636664,3.510613954372748,2.4324886048143504,0.774431023735307,16.54182639309103,4.067164416776267,2.521594840947413
min_samples_leaf,1,0.9769165506290097,2.0053378190636675,1.4160995088847632,1.0044052290710936,0.8727396090655406,9.332485913685572,3.0549117685598666,1.9801679543089328
min_samples_leaf,2,0.9537807103950998,4.015227010718909,2.003803136717504,1.3077464472393054,0.852196132647216,10.839016758706197,3.2922662041071646,2.023143521000169
min_samples_leaf,4,0.9142591756940626,7.448597254900366,2.729211837674087,1.7337105823317593,0.8257770585865775,12.776427407165581,3.5744128758672495,2.080743762568599
min_samples_leaf,8,0.8658212309018929,11.656566393669022,3.414171406603515,2.2027377511335042,0.7936010588281559,15.13601519641627,3.8905032060668283,2.3159832373565874
min_samples_leaf,12,0.8279673880257663,14.945058572476094,3.865883931583577,2.4923299415516174,0.7635142417043421,17.342395319358317,4.164420166044526,2.46116939649526
