param_estimator__max_depth,param_learning_rate,param_n_estimators,mean_test_score,std_test_score,rank_test_score
3,0.5,200,0.9941176470588236,0.007608796116064725,1
3,1.0,200,0.994014447884417,0.006958104367817355,2
3,1.0,100,0.9939112487100104,0.006675319557810642,3
3,1.0,150,0.993704850361197,0.007219518031947475,4
3,0.5,150,0.993498452012384,0.008240439536708803,5
2,1.0,200,0.9930856553147576,0.008259803014969527,6
2,0.5,50,0.9930856553147575,0.008469880094399675,7
2,0.5,200,0.9929824561403509,0.008693267157338565,8
2,0.5,150,0.9928792569659443,0.008722619859283997,9
2,1.0,150,0.9928792569659443,0.008722619859283971,9
2,0.5,100,0.9928792569659443,0.008734821040040787,9
3,0.05,200,0.9927760577915377,0.008853502823334233,12
2,1.0,100,0.9927760577915377,0.008440910235987002,12
3,1.0,50,0.9927760577915375,0.008313780830184895,14
3,0.5,100,0.9925696594427244,0.009070966746479165,15
1,1.0,50,0.992466460268318,0.008387750578417355,16
3,0.1,150,0.992466460268318,0.009297094431005352,16
1,1.0,200,0.9923632610939113,0.009028600816552882,18
3,0.1,200,0.9920536635706915,0.009842409921623406,19
3,0.1,100,0.9918472652218782,0.01005013731594621,20
3,0.5,50,0.9917440660474716,0.010335385724296625,21
3,0.05,150,0.9915376676986585,0.01054754127855623,22
1,1.0,100,0.9913312693498451,0.010771344308063086,23
2,1.0,50,0.9912280701754387,0.009735790641957247,24
1,0.5,200,0.991124871001032,0.010776286879014732,25
1,0.5,100,0.9910216718266254,0.009992749999513034,26
1,1.0,150,0.9909184726522188,0.011146466342866562,27
1,0.5,150,0.9909184726522188,0.010384729401935433,27
3,0.05,100,0.9906088751289989,0.01150288940606216,29
2,0.1,150,0.9905056759545925,0.010527327497466748,30
2,0.1,200,0.9905056759545923,0.010607951516415982,31
4,1.0,150,0.9904540763673891,0.010776781011434894,32
4,1.0,200,0.9902476780185758,0.010887879715427522,33
4,1.0,100,0.9900412796697626,0.010709369706152995,34
1,0.5,50,0.989576883384933,0.011759273092461641,35
4,1.0,50,0.9894220846233228,0.011117286435419692,36
1,0.1,200,0.9889576883384933,0.012713200077964518,37
2,0.05,200,0.9888544891640867,0.013031730883231646,38
1,0.1,150,0.9883384932920537,0.013262599650292941,39
2,0.05,150,0.9882352941176471,0.013389670332617608,40
3,0.1,50,0.9880288957688339,0.01483844799408908,41
2,0.1,100,0.9880288957688339,0.013301889200582546,41
1,0.05,200,0.9876160990712073,0.013964339380834632,43
1,0.1,100,0.9875128998968007,0.014079786770437435,44
1,0.05,150,0.9874097007223941,0.014143747109513822,45
4,0.5,50,0.987203302373581,0.01684835170188915,46
4,0.5,100,0.987203302373581,0.016977440431520153,46
4,0.5,150,0.9871001031991744,0.017032554002706098,48
4,0.5,200,0.9871001031991744,0.017032554002706098,48
2,0.1,50,0.9869453044375647,0.014196545955845297,50
2,0.05,100,0.9867389060887513,0.015417486934073701,51
2,0.05,50,0.9862745098039216,0.015067079463364268,52
1,0.05,100,0.985810113519092,0.016057340532371456,53
3,0.05,50,0.9851909184726523,0.015689668852238603,54
1,0.1,50,0.9848813209494324,0.016830959605520134,55
4,0.1,100,0.9838493292053665,0.020855171836287673,56
4,0.1,200,0.9836429308565531,0.02069883208942431,57
4,0.1,150,0.9836429308565531,0.02069883208942431,57
4,0.1,50,0.9831269349845202,0.02033940273146359,59
1,0.05,50,0.9817853457172342,0.01925058821890738,60
4,0.05,100,0.9800309597523219,0.023872045872324013,61
4,0.05,150,0.9800309597523219,0.023872045872324013,61
4,0.05,200,0.9798245614035087,0.023702358983335444,63
4,0.05,50,0.9793085655314757,0.023352675732037153,64
