feature,feature_cn,AdaBoost_DT,RandomForest,Lars_abs_coef,LassoLars_abs_coef,AdaBoost_DT_norm,RandomForest_norm,Lars_norm,mean_norm
perimeter_worst,周长-最值,0.056475974150639416,0.14356645002633597,187.27181036490938,0.0,0.056475974150639416,0.14356645002633597,0.14972890711001155,0.11659044376232897
radius_mean,半径-均值,0.004215959003037733,0.06117699112637677,352.4679520324755,0.079093542456596,0.004215959003037733,0.06117699112637677,0.281807716528677,0.11573355555269715
perimeter_mean,周长-均值,0.005198605963425761,0.05285059400200879,358.2398226133795,0.0,0.005198605963425761,0.05285059400200879,0.2864224840816536,0.11482389468236272
radius_worst,半径-最值,0.012641136771102388,0.08290224446767111,181.94201092419945,0.0,0.012641136771102388,0.08290224446767111,0.14546758746015045,0.08033698956630798
area_worst,面积-最值,0.04922071707651883,0.14265392062025856,0.5381706146357277,0.007258759326054063,0.04922071707651883,0.14265392062025856,0.0004302820473146318,0.06410163991469733
concave points_worst,凹点-最值,0.05401608229455173,0.11301923291902201,10.424869612818426,0.032667184299121486,0.05401608229455173,0.11301923291902201,0.008334966863673526,0.05845676069241575
concave points_mean,凹点-均值,0.07944921085557721,0.08853445442194274,7.793401493982189,0.11847576948114603,0.07944921085557721,0.08853445442194274,0.006231036513662792,0.058071567263727586
texture_worst,纹理-最值,0.08961495277195101,0.017173249282990022,0.5434441182734788,0.06576984614633326,0.08961495277195101,0.017173249282990022,0.00043449835693850193,0.035740900137293176
area_se,面积-标准误,0.06718910469725836,0.0320562096658441,4.949605732990026,0.061897638527913613,0.06718910469725836,0.0320562096658441,0.003957344437382071,0.03440088626682818
texture_mean,纹理-均值,0.07238921309001221,0.013312675843067326,1.1108742418718405,0.013378632471012581,0.07238921309001221,0.013312675843067326,0.0008881741776727112,0.02886335437025075
concavity_worst,凹度-最值,0.04786462148702075,0.0313104275241806,6.478606159905625,0.039989840480026434,0.04786462148702075,0.0313104275241806,0.005179821875105988,0.028118290295435777
area_mean,面积-均值,0.03075611705263139,0.043160223835015624,6.615712870568155,0.0,0.03075611705263139,0.043160223835015624,0.005289442420264107,0.026401927769303706
smoothness_worst,平滑度-最值,0.05882142830374191,0.014313954418373468,0.7123243806009532,0.042730950234805616,0.05882142830374191,0.014313954418373468,0.0005695227210511419,0.02456830181438884
symmetry_worst,对称性-最值,0.05027453664487711,0.014064605117492537,2.1987407444087546,0.06980467576324446,0.05027453664487711,0.014064605117492537,0.0017579530418223783,0.022032364934730677
compactness_mean,紧致度-均值,0.03087138467015335,0.01765897363263616,21.274484798877122,0.029252099560258503,0.03087138467015335,0.01765897363263616,0.017009529368341603,0.021846629223710372
concavity_mean,凹度-均值,0.020928879154961604,0.039639147896217475,4.867103374151041,0.0,0.020928879154961604,0.039639147896217475,0.003891381557016421,0.02148646953606517
radius_se,半径-标准误,0.01224804802223928,0.013811243012912382,33.77327550917827,0.05313026738387245,0.01224804802223928,0.013811243012912382,0.02700265257040587,0.017687314535185846
perimeter_se,周长-标准误,0.00973952626504441,0.009562370652339272,40.29820108094432,0.0,0.00973952626504441,0.009562370652339272,0.0322195080754123,0.01717380166426533
compactness_se,紧致度-标准误,0.04170884628859195,0.004662440774291183,3.3230774370999088,0.08272584621349394,0.04170884628859195,0.004662440774291183,0.00265689081517065,0.01634272595935126
smoothness_mean,平滑度-均值,0.0362825632529247,0.006196952735568182,1.8557659258193986,0.0,0.0362825632529247,0.006196952735568182,0.0014837353437418496,0.01465441711074491
fractal_dimension_se,分形维-标准误,0.03065101382176091,0.005445061611921548,0.7697001867789565,0.0,0.03065101382176091,0.005445061611921548,0.0006153962389973219,0.012237157224226592
compactness_worst,紧致度-最值,0.014209165537116864,0.015909883362280424,7.26893032906709,0.0,0.014209165537116864,0.015909883362280424,0.0058117075490928686,0.011976918816163385
smoothness_se,平滑度-标准误,0.027921368216873754,0.0035328656559211018,0.863130658832085,0.0021545572073338485,0.027921368216873754,0.0035328656559211018,0.00069009644317663,0.010714776771990495
concave points_se,凹点-标准误,0.02229322762824386,0.003852073700612528,4.792095938697143,0.045293361269865044,0.02229322762824386,0.003852073700612528,0.003831411071796285,0.009992237466884223
fractal_dimension_mean,分形维-均值,0.02332670259815835,0.0039046906557178795,1.7099970814612528,0.08274562767071915,0.02332670259815835,0.0039046906557178795,0.001367189187041032,0.009532860813639087
concavity_se,凹度-标准误,0.010944448491793447,0.0073389489920895465,5.2048889278006625,0.0,0.010944448491793447,0.0073389489920895465,0.004161450296603855,0.007481615926828948
texture_se,纹理-标准误,0.015883831992947725,0.004474516297483638,0.07475914833264158,0.003606731438364345,0.015883831992947725,0.004474516297483638,5.97719729120486e-05,0.0068060400877811384
symmetry_mean,对称性-均值,0.012602183000553583,0.004858563748516887,0.5412494085193791,0.015575211126303211,0.012602183000553583,0.004858563748516887,0.00043274362678309453,0.005964496791951188
symmetry_se,对称性-标准误,0.008307189300287766,0.00319970618269384,2.0540776145557316,0.0,0.008307189300287766,0.00319970618269384,0.001642290933949332,0.004383062138976979
fractal_dimension_worst,分形维-最值,0.003953961596002648,0.005857327818218374,0.7810957654715704,0.1001902413362457,0.003953961596002648,0.005857327818218374,0.0006245073141783996,0.003478598909466474
