dataset,model,repeat,R2,MSE,MAE,RMSE,alpha,n_selected
y1_no_noise,OLS,0,1.0,1.8488927466117464e-31,3.515706244646329e-16,4.2998752849492583e-16,,
y1_no_noise,Ridge,0,0.999999999688114,7.097721291226594e-11,7.375170202476393e-06,8.424797499778017e-06,0.001,
y1_no_noise,Lasso,0,0.9999999290293459,1.6151093392258218e-08,0.0001003813534823141,0.00012708695209288096,0.0001,2.0
y1_no_noise,LARS,0,1.0,2.1416340981586063e-31,3.9320398788807626e-16,4.627779271052808e-16,0.0,2.0
y1_no_noise,OLS,1,1.0,4.1600086798764294e-32,1.249000902703301e-16,2.0396099332657776e-16,,
y1_no_noise,Ridge,1,0.9999999996806397,1.01914836491491e-10,9.1271686805533e-06,1.0095287835990166e-05,0.001,
y1_no_noise,Lasso,1,0.9999999506815017,1.57386079511424e-08,9.857626309522916e-05,0.0001254536087609376,0.0001,2.0
y1_no_noise,LARS,1,1.0,3.9545761524751245e-32,1.3415194880887307e-16,1.9886116142864912e-16,0.0,2.0
y1_no_noise,OLS,2,1.0,3.749143625073819e-32,1.1564823173178715e-16,1.9362705454232937e-16,,
y1_no_noise,Ridge,2,0.9999999996841473,9.44889063899679e-11,8.400116486030155e-06,9.720540437134548e-06,0.001,
y1_no_noise,Lasso,2,0.999999926944427,2.1854939308874743e-08,0.00011002465241398418,0.00014783416150834265,0.0001,2.0
y1_no_noise,LARS,2,1.0,6.727915272392744e-32,2.0816681711721685e-16,2.593822521375112e-16,0.0,2.0
y1_no_noise,OLS,3,1.0,2.1570415377137042e-32,1.0177044392397268e-16,1.4686870114880517e-16,,
y1_no_noise,Ridge,3,0.9999999996229306,1.0774547706870644e-10,8.996068335723195e-06,1.0380051881792616e-05,0.001,
y1_no_noise,Lasso,3,0.9999999209933551,2.2575706512372942e-08,0.0001279096749838097,0.00015025214312073203,0.0001,2.0
y1_no_noise,LARS,3,1.0,1.951609010312399e-32,8.326672684688674e-17,1.3970000036909087e-16,0.0,2.0
