model,repeat,R2,MSE,MAE,RMSE
OLS,0,0.6623931692682723,16.09118334341133,3.023352742479106,4.011381724968509
Ridge,0,0.6657402778558039,15.931651802430524,3.000539119067115,3.9914473317871204
Lasso,0,0.6655616049020954,15.940167800908403,3.002087968823526,3.992513970032967
LARS,0,0.572675376459503,20.3673570515176,3.4158917640348867,4.513020834376637
OLS,1,0.7448262999514287,18.202401231274003,3.171870541301404,4.266427220904395
Ridge,1,0.743753981024897,18.278893359361277,3.1541700855049086,4.275382247163553
Lasso,1,0.7446466984062873,18.21521281564104,3.1565774232312434,4.2679283986075776
LARS,1,0.7287054972358691,19.35235249640428,3.283679560806776,4.399130879662968
OLS,2,0.5771330658665565,20.002726115166222,3.3258379923894017,4.472440733555474
Ridge,2,0.5874199100348133,19.516131137224292,3.2962943085320573,4.417706547205721
Lasso,2,0.579676392441758,19.882420031150858,3.3192273610235525,4.458970736745292
LARS,2,0.5858292532068315,19.591373418672806,3.3024511523198017,4.426214343959497
OLS,3,0.7977391788251486,15.311907379529273,3.0496236933631944,3.9130432376258346
Ridge,3,0.7947412622539638,15.538860976389502,3.051151006258328,3.9419361963874433
Lasso,3,0.7956393858067148,15.47086963444193,3.061094701736438,3.933302637026794
LARS,3,0.7978150661814488,15.306162420301888,3.0458347601257416,3.9123090905885602
OLS,4,0.641005443831279,18.130372726112252,3.0513567514391213,4.257977539409086
Ridge,4,0.6448020837712278,17.93863027198499,3.0386011994583955,4.23540202011391
Lasso,4,0.6374177560857852,18.311562426437785,3.065891008147638,4.279201143489026
LARS,4,0.6446080495094255,17.94842962249787,3.03224454372294,4.236558700466437
OLS,5,0.6980411281241108,17.829562007861508,3.2579611616242445,4.222506602465117
Ridge,5,0.7000720797023743,17.709641778743364,3.2513090563072837,4.208282521260112
Lasso,5,0.6987979900431143,17.784872092203692,3.2537114865193257,4.217211411845947
LARS,5,0.700699276095202,17.672608136023886,3.2370278838738367,4.203880128645902
OLS,6,0.7402981102439226,15.97781714911058,2.9716199150959626,3.9972261818804524
Ridge,6,0.738912880354592,16.063041595886823,2.976555684424562,4.007872452547215
Lasso,6,0.7406915806735623,15.95360939850749,2.9654673482689273,3.994196965412133
LARS,6,0.7409480672001618,15.937829402347026,2.9602501986603915,3.9922211114049064
OLS,7,0.7463933573840811,17.708149015015362,3.1781605102440027,4.208105157314318
Ridge,7,0.7421741546631624,18.002755929628943,3.188865249779605,4.2429654641098535
Lasso,7,0.7444144712100704,17.84632525082558,3.174415202547097,4.224491123298234
LARS,7,0.7447043785244893,17.82608239807015,3.17377714266253,4.222094551057585
OLS,8,0.7456624649165033,20.155945165939904,3.3826847585868776,4.4895372997604
Ridge,8,0.7410098126321367,20.524662289384107,3.4206571047775722,4.530415244697124
Lasso,8,0.7443710991738786,20.258284355037468,3.3946368827723017,4.500920389768905
LARS,8,0.745662464916503,20.155945165939922,3.38268475858688,4.489537299760402
OLS,9,0.7409597612526166,16.83412880268182,3.065965125259067,4.1029414817520635
Ridge,9,0.7412987606029566,16.812098407885838,3.0440869379411493,4.100255895415046
Lasso,9,0.7416230925834154,16.791021194707405,3.0465980748560337,4.097684857905425
LARS,9,0.7416940942352124,16.786407043032234,3.04315594068533,4.097121799877597
OLS,10,0.6677423387973984,22.7684097458578,3.5037623232197217,4.771625482564385
Ridge,10,0.6683132800011344,22.729285220570993,3.480133480506738,4.767524013633387
Lasso,10,0.6652782623286506,22.93726394919659,3.475673091596784,4.7892863716003236
LARS,10,0.6674740477083796,22.786794758934192,3.47419223518648,4.773551587542989
OLS,11,0.748851902266265,14.393338508136182,2.8097395318517435,3.793855362047449
Ridge,11,0.7525702526247275,14.180239241670938,2.7622105446102716,3.765665843070909
Lasso,11,0.7582542666886557,13.85448746713884,2.702072286012167,3.7221616659058268
LARS,11,0.7549573606241494,14.043433692271211,2.7184889067911486,3.7474569633647845
OLS,12,0.736133177655117,18.916319064327123,3.1562639268005435,4.3492894895979415
Ridge,12,0.7364948369342967,18.890392112781104,3.1550322731256375,4.346307871375554
Lasso,12,0.7371568276615995,18.84293473369872,3.1439423240768876,4.3408449331551475
LARS,12,0.7368947905109535,18.861719885633615,3.144430197581056,4.343008160898805
OLS,13,0.7663794837659785,13.778117472852466,2.8024109094947574,3.7118886665486706
Ridge,13,0.7661263100687036,13.793048768264025,2.8202227311669397,3.7138994020118563
Lasso,13,0.7670892203756408,13.736259700511475,2.8030268222371686,3.70624603885272
LARS,13,0.7673523356257655,13.720742087231793,2.791301651182506,3.7041520064964657
OLS,14,0.679383245246719,22.143499953152222,3.3856571347348723,4.705688042481378
Ridge,14,0.6827052079403008,21.91406752437505,3.360421220601608,4.681246364417819
Lasso,14,0.6801110860321014,22.09323139370212,3.3773216968848234,4.700343752716615
LARS,14,0.6801927642963204,22.08759025794395,3.376653215712397,4.699743637470447
OLS,15,0.7720477739717477,15.14719281526509,2.9663276797411045,3.891939467060747
Ridge,15,0.7719292758783332,15.155066892656064,2.9741858976393534,3.892950923484146
Lasso,15,0.7729351522345229,15.088227435191701,2.9698604586885753,3.8843567595152355
LARS,15,0.7722807087668626,15.13171453581827,2.9778722334400487,3.8899504541598304
OLS,16,0.6563198444236231,18.765598757493834,3.223592855180404,4.33192783382801
Ridge,16,0.6599060718143088,18.56978383139233,3.18054421498805,4.309267203526875
Lasso,16,0.6608429408474814,18.51862897685802,3.148765909164802,4.303327663199495
LARS,16,0.6402346801279273,19.643879723746227,3.2308689731052898,4.432141663321044
OLS,17,0.7322249056051116,18.227685252836928,3.2131699461331222,4.269389330201326
Ridge,17,0.7302812396349014,18.359992298126933,3.218920397995086,4.2848561583939935
Lasso,17,0.7317609200839712,18.25926915372335,3.217331221162962,4.273086607327699
LARS,17,0.7322249056051119,18.22768525283691,3.2131699461331213,4.269389330201324
OLS,18,0.736147730031633,17.90614620180496,3.282341325109696,4.231565455219258
Ridge,18,0.7348837071988905,17.99192821023044,3.2923105285759653,4.2416893109031975
Lasso,18,0.73584901865329,17.926418036545645,3.2857009649043873,4.2339600891536096
LARS,18,0.7367951187774731,17.862211626090286,3.268504040443459,4.2263709759189725
OLS,19,0.614498399281471,25.635460402822396,3.596896719445734,5.063147282355353
Ridge,19,0.6159478809908301,25.539071358274633,3.579491174304329,5.05361962936217
Lasso,19,0.614498278356845,25.63546844418579,3.59677810140096,5.063148076462488
LARS,19,0.6144983992814712,25.635460402822382,3.596896719445734,5.063147282355351
OLS,20,0.7492996422126541,16.393504181517134,2.9514086466312124,4.048889252809606
Ridge,20,0.7506129810217452,16.30762386826745,2.929445026341376,4.0382699102793325
Lasso,20,0.7502987989429215,16.32816849480254,2.937538755975494,4.040812850752005
LARS,20,0.7361851195686091,17.25107368680726,2.9599727064769894,4.153441186150017
OLS,21,0.7191822426111528,18.045257082323296,3.2339740173917866,4.247970937085528
Ridge,21,0.7199899226043603,17.993355830589074,3.2247825903944642,4.24185759197419
Lasso,21,0.719665038731615,18.01423276180632,3.2280853399034015,4.244317702741669
LARS,21,0.721653385349011,17.886462259636847,3.201127808634739,4.229238969322595
OLS,22,0.672125571415693,15.716455973884546,2.926861461467122,3.9643985639545054
Ridge,22,0.6738119675741299,15.635619627198281,2.9131726739819905,3.954190135438391
Lasso,22,0.6730944072722447,15.670015432146776,2.9217483287316206,3.958537031801872
LARS,22,0.6721255714156926,15.716455973884564,2.926861461467124,3.9643985639545076
OLS,23,0.73659480444711,18.847930061264965,3.2303429384360003,4.341420281574333
Ridge,23,0.7298386300928607,19.3313673808794,3.2723785259666163,4.396745089367747
Lasso,23,0.7314694764497316,19.214672347547,3.261495272240252,4.383454385247667
LARS,23,0.7141629926620213,20.453035908875012,3.337315915918727,4.522503279034192
OLS,24,0.7353344882849489,15.76646955704372,3.0179963043726956,3.9707013935882562
Ridge,24,0.7326835737642428,15.924387990836623,3.022044758192292,3.9905373060324374
Lasso,24,0.7353330433783872,15.766555632011208,3.0179726829778617,3.970712232334548
LARS,24,0.7353344882849489,15.76646955704372,3.0179963043726956,3.9707013935882562
