,count,mean,std,min,25%,50%,75%,max
CRIM,506.0,3.613523557312254,8.601545105332487,0.00632,0.08204499999999999,0.25651,3.6770825,88.9762
ZN,506.0,11.363636363636363,23.322452994515036,0.0,0.0,0.0,12.5,100.0
INDUS,506.0,11.13677865612648,6.8603529408975845,0.46,5.19,9.69,18.1,27.74
CHAS,506.0,0.0691699604743083,0.2539940413404118,0.0,0.0,0.0,0.0,1.0
NOX,506.0,0.5546950592885376,0.11587767566755611,0.385,0.449,0.538,0.624,0.871
RM,506.0,6.284634387351779,0.7026171434153237,3.561,5.8854999999999995,6.2085,6.6235,8.78
AGE,506.0,68.57490118577076,28.148861406903638,2.9,45.025,77.5,94.07499999999999,100.0
DIS,506.0,3.795042687747036,2.1057101266276104,1.1296,2.100175,3.2074499999999997,5.1884250000000005,12.1265
RAD,506.0,9.549407114624506,8.707259384239377,1.0,4.0,5.0,24.0,24.0
TAX,506.0,408.2371541501976,168.53711605495926,187.0,279.0,330.0,666.0,711.0
PTRATIO,506.0,18.455533596837945,2.164945523714446,12.6,17.4,19.05,20.2,22.0
B,506.0,356.6740316205534,91.29486438415779,0.32,375.3775,391.44,396.225,396.9
LSTAT,506.0,12.653063241106722,7.141061511348571,1.73,6.949999999999999,11.36,16.955000000000002,37.97
MEDV,506.0,22.532806324110677,9.19710408737982,5.0,17.025,21.2,25.0,50.0
