LSTAT,RM,INDUS,TAX,NOX,PTRATIO,AGE,RAD,CRIM,MEDV
4.98,6.575,2.31,296.0,0.538,15.3,65.2,1.0,0.00632,24.0
9.14,6.421,7.07,242.0,0.469,17.8,78.9,2.0,0.02731,21.6
4.03,7.185,7.07,242.0,0.469,17.8,61.1,2.0,0.02729,34.7
2.94,6.998,2.18,222.0,0.458,18.7,45.8,3.0,0.03237,33.4
5.33,7.147,2.18,222.0,0.458,18.7,54.2,3.0,0.06905,36.2
5.21,6.43,2.18,222.0,0.458,18.7,58.7,3.0,0.02985,28.7
12.43,6.012,7.87,311.0,0.524,15.2,66.6,5.0,0.08829,22.9
19.15,6.172,7.87,311.0,0.524,15.2,96.1,5.0,0.14455,27.1
29.93,5.631,7.87,311.0,0.524,15.2,100.0,5.0,0.21124,16.5
17.1,6.004,7.87,311.0,0.524,15.2,85.9,5.0,0.17004,18.9
20.45,6.377,7.87,311.0,0.524,15.2,94.3,5.0,0.22489,15.0
13.27,6.009,7.87,311.0,0.524,15.2,82.9,5.0,0.11747,18.9
15.71,5.889,7.87,311.0,0.524,15.2,39.0,5.0,0.09378,21.7
8.26,5.949,8.14,307.0,0.538,21.0,61.8,4.0,0.62976,20.4
10.26,6.096,8.14,307.0,0.538,21.0,84.5,4.0,0.63796,18.2
8.47,5.834,8.14,307.0,0.538,21.0,56.5,4.0,0.62739,19.9
6.58,5.935,8.14,307.0,0.538,21.0,29.3,4.0,1.05393,23.1
14.67,5.99,8.14,307.0,0.538,21.0,81.7,4.0,0.7842,17.5
11.69,5.456,8.14,307.0,0.538,21.0,36.6,4.0,0.80271,20.2
11.28,5.727,8.14,307.0,0.538,21.0,69.5,4.0,0.7258,18.2
21.02,5.57,8.14,307.0,0.538,21.0,98.1,4.0,1.25179,13.6
13.83,5.965,8.14,307.0,0.538,21.0,89.2,4.0,0.85204,19.6
18.72,6.142,8.14,307.0,0.538,21.0,91.7,4.0,1.23247,15.2
19.88,5.813,8.14,307.0,0.538,21.0,100.0,4.0,0.98843,14.5
16.3,5.924,8.14,307.0,0.538,21.0,94.1,4.0,0.75026,15.6
16.51,5.599,8.14,307.0,0.538,21.0,85.7,4.0,0.84054,13.9
14.81,5.813,8.14,307.0,0.538,21.0,90.3,4.0,0.67191,16.6
