experiment,kernel,features,train_accuracy,test_accuracy,fit_time_sec,test_precision_macro,test_recall_macro,test_f1_macro
petal,linear,"花瓣长度,花瓣宽度",0.9666666666666667,0.95,0.0009980201721191406,0.9507101086048454,0.9500000000000001,0.9499687304565354
petal,rbf,"花瓣长度,花瓣宽度",0.9666666666666667,0.9666666666666667,0.0010023117065429688,0.9696969696969697,0.9666666666666667,0.9665831244778613
petal,poly,"花瓣长度,花瓣宽度",0.9666666666666667,0.95,0.0006740093231201172,0.9507101086048454,0.9500000000000001,0.9499687304565354
petal,sigmoid,"花瓣长度,花瓣宽度",0.0,0.0,0.0010318756103515625,0.0,0.0,0.0
sepal,linear,"花萼长度,花萼宽度",0.7888888888888889,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334
sepal,rbf,"花萼长度,花萼宽度",0.7888888888888889,0.8166666666666667,0.0009999275207519531,0.8170426065162908,0.8166666666666668,0.8165520116739629
sepal,poly,"花萼长度,花萼宽度",0.7777777777777778,0.7833333333333333,0.0009987354278564453,0.7860187553282182,0.7833333333333333,0.7821076890844333
sepal,sigmoid,"花萼长度,花萼宽度",0.25555555555555554,0.23333333333333334,0.0009918212890625,0.09150326797385622,0.2333333333333333,0.13145539906103287
all4,linear,"花萼长度,花萼宽度,花瓣长度,花瓣宽度",0.9777777777777777,0.9833333333333333,0.0,0.9841269841269842,0.9833333333333334,0.9833229101521784
all4,rbf,"花萼长度,花萼宽度,花瓣长度,花瓣宽度",0.9555555555555556,0.95,0.001001119613647461,0.9507101086048454,0.9500000000000001,0.9499687304565354
all4,poly,"花萼长度,花萼宽度,花瓣长度,花瓣宽度",0.9777777777777777,0.95,0.0010006427764892578,0.9507101086048454,0.9499999999999998,0.9499687304565354
all4,sigmoid,"花萼长度,花萼宽度,花瓣长度,花瓣宽度",0.07777777777777778,0.06666666666666667,0.001001596450805664,0.034188034188034185,0.06666666666666667,0.04519774011299434
